open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
50.987,50.778,51.067,50.72,13413.84838,51.19633,0.15968,52.21057,0.98309,-0.209,-0.282,0,0
50.778,51.99,51.992,50.751,19937.16526,51.1215,0.24302,52.14528,1.01963,1.212,1.212,0,1
51.99,52.19,52.704,51.99,28981.47061,51.1655,0.46435,52.1008,1.03762,0.2,0.2,0,1
52.147,51.72,52.168,51.33,8237.223829,51.45217,0.67057,52.08028,1.032,-0.427,-0.47,0,1
51.759,51.399,51.955,51.27,5942.127232,51.8025,0.52831,52.02687,1.00335,-0.36,-0.321,0,1
51.391,50.467,51.6,50.2,15654.22997,51.8675,0.30005,51.94272,0.95468,-0.924,-0.932,0,1
50.47,49.466,50.5,48.263,53562.58432,51.4805,0.56938,51.83887,0.9329,-1.004,-1.001,0,1
49.45,48.065,49.5,46.801,75937.8769,50.82533,0.85126,51.69202,0.95521,-1.385,-1.401,0,1
48.011,47.449,48.9,46.81,66034.80687,49.88483,1.15119,51.48863,1.06705,-0.562,-0.616,0,1
47.43,47.13,47.687,46.94,38059.4204,48.8185,1.15246,51.24685,1.25133,-0.3,-0.319,0,1
47.138,46.038,47.17,45.384,48914.96981,47.9225,0.83141,50.99533,1.43272,-1.1,-1.092,0,0
46.111,47.025,47.479,44.508,91342.83472,47.19933,0.65293,50.72261,1.64264,0.914,0.987,0,0
47.025,46.353,47.998,46.178,56875.98108,46.812,0.5874,50.45396,1.79361,-0.672,-0.672,0,0
46.353,46.5,47.51,46.3,22256.09179,46.615,0.50305,50.19663,1.89154,0.147,0.147,0,0
46.49,46.4,46.861,46,13689.86308,46.56117,0.38035,49.95098,1.99411,-0.09,-0.1,0,0
46.332,46.87,47.005,46.292,8605.306066,46.52017,0.25554,49.7403,2.0967,0.538,0.47,0,0
46.82,46.63,47.738,46.62,18580.52418,46.49083,0.19816,49.55235,2.1766,-0.19,-0.24,0,0
46.63,46.689,47.361,46.629,9281.408556,46.59033,0.22161,49.35783,2.21924,0.059,0.059,1,0
46.691,47.677,47.955,46.674,10827.05814,46.66183,0.18969,49.15889,2.24587,0.986,0.988,0,0
47.687,48.168,48.7,47.5,31213.58498,46.85617,0.40807,48.99993,2.25314,0.481,0.491,0,1
48.169,48.048,48.54,47.582,18318.43207,47.257,0.66743,48.86678,2.22167,-0.121,-0.12,0,1
48.03,48.46,48.601,48.001,10975.25066,47.74,0.56023,48.73641,2.1728,0.43,0.412,0,1
48.46,47.79,48.602,47.703,26429.61405,48.09367,0.25176,48.60567,2.10575,-0.67,-0.67,0,1
47.772,47.091,47.915,46.611,20206.08214,48.1595,0.26322,48.47067,2.03062,-0.681,-0.699,0,1
47.089,46.04,47.168,45.915,15375.53063,47.93383,0.51385,48.32063,1.97346,-1.049,-1.051,0,1
